Value,Count,hierarchy,class,subclass,formation,formation,division k,division c,Division,Mgkey,Mg code,Mg name fi,Macrogroup,Mapped,Red,Green,Blue,Opacity
0,2730513368.0,,,,,,,,,,,,,0,0.0,0.0,0.0,1.0
1,336479726.0,1.A.2.Fd,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D147,1.A.2.Fd,1.A.2.Fd Guineo-Congolian Evergreen & Semi-Evergreen Rainforest,MA001,1.A.2.Fd.1,1.A.2.Fd.1-Guineo-Congolian Evergreen Rainforest,Guineo-Congolian Evergreen Rainforest,1,0.0,0.458824,0.0392157,1.0
3,39901826.0,1.A.2.Fd,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D147,1.A.2.Fd,1.A.2.Fd Guineo-Congolian Evergreen & Semi-Evergreen Rainforest,MA003,1.A.2.Fd.3,1.A.2.Fd.3-Guineo-Congolian Semi-Deciduous Rainforest,Guineo-Congolian Semi-Deciduous Rainforest,1,0.0666667,0.482353,0.0470588,1.0
4,3666429.0,1.A.2.Fd,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D147,1.A.2.Fd,1.A.2.Fd Guineo-Congolian Evergreen & Semi-Evergreen Rainforest,MA004,1.A.2.Fd.4,1.A.2.Fd.4-Guineo-Congolian Littoral Rainforest,Guineo-Congolian Littoral Rainforest,1,0.027451,0.431373,0.0392157,1.0
5,1398415.0,1.A.2.Fe,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D148,1.A.2.Fe,1.A.2.Fe Malagasy Evergreen & Semi-Evergreen Forest,MA005,1.A.2.Fe.5,1.A.2.Fe.5-Madagascar Evergreen Littoral Forest,Madagascar Evergreen Littoral Forest,1,0.054902,0.588235,0.184314,1.0
6,10830827.0,1.A.2.Ff,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D149,1.A.2.Ff,1.A.2.Ff Eastern & Southern African Lowland Evergreen & Semi-Evergreen Forest,MA006,1.A.2.Ff.1,1.A.2.Ff.1-Eastern African Lowland Semi-Evergreen Forest,Eastern African Lowland Semi-Evergreen Forest,1,0.0470588,0.505882,0.0156863,1.0
7,865688.0,1.A.2.Ff,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D149,1.A.2.Ff,1.A.2.Ff Eastern & Southern African Lowland Evergreen & Semi-Evergreen Forest,MA007,1.A.2.Ff.2,1.A.2.Ff.2-Central Indian Ocean Coastal Forest,Central Indian Ocean Coastal Forest,1,0.0901961,0.556863,0.00392157,1.0
8,1297802.0,1.A.2.Ff,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D149,1.A.2.Ff,1.A.2.Ff Eastern & Southern African Lowland Evergreen & Semi-Evergreen Forest,MA008,1.A.2.Ff.3,1.A.2.Ff.3-Southern Indian Ocean Coastal Forest,Southern Indian Ocean Coastal Forest,1,0.145098,0.568627,0.105882,1.0
9,3429357.0,1.A.2.Ff,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D149,1.A.2.Ff,1.A.2.Ff Eastern & Southern African Lowland Evergreen & Semi-Evergreen Forest,MA009,1.A.2.Ff.4,1.A.2.Ff.4-Southern African Scarp Forest,Southern African Scarp Forest,1,0.0392157,0.431373,0.156863,1.0
11,10998860.0,1.A.2.Fe,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D148,1.A.2.Fe,1.A.2.Fe Malagasy Evergreen & Semi-Evergreen Forest,MA011,1.A.2.Fe.1,1.A.2.Fe.1-Eastern Madagascar Lowland Rainforest,Eastern Madagascar Lowland Rainforest,1,0.141176,0.392157,0.176471,1.0
12,9532444.0,1.A.2.Fe,1 Forest to Open Woodland,1.A Tropical Forest,1.A.2,1.A.2,D148,1.A.2.Fe,1.A.2.Fe Malagasy Evergreen & Semi-Evergreen Forest,MA012,1.A.2.Fe.2,1.A.2.Fe.2-Eastern Madagascar Subhumid Forest,Eastern Madagascar Subhumid Forest,1,0.0627451,0.462745,0.054902,1.0
